"art_gallery_avg_rating","dance_club_avg_rating","juice_bar_avg_rating","restaurant_avg_rating","museum_avg_rating","resort_avg_rating","park_avg_rating","beach_avg_rating","theatre_avg_rating","religious_institution_avg_rating"
NA,1.8,NA,NA,0.8,2.42,3.19,2.79,NA,NA
NA,2.2,NA,NA,NA,3.18,NA,2.63,1.86,2.32
1.22,NA,0.54,NA,0.24,NA,3.18,2.8,1.31,2.5
0.45,NA,0.29,0.57,0.46,1.52,3.18,NA,NA,2.86
0.51,1.2,NA,0.57,NA,2.02,3.18,2.78,NA,2.54
NA,NA,NA,0.27,NA,NA,3.17,2.89,NA,NA
NA,1.36,NA,NA,0.86,1.58,NA,2.66,1.22,NA
0.74,NA,NA,NA,NA,NA,NA,NA,1.54,NA
NA,1.76,NA,NA,NA,NA,NA,NA,NA,2.54
NA,1.36,NA,NA,1.5,1.54,NA,2.82,NA,NA
1.47,NA,0.7,NA,1.66,2.76,NA,2.89,NA,NA
0.96,NA,NA,0.38,0.88,2.08,NA,2.93,1.66,NA
0.74,NA,2.75,0.45,0.98,NA,NA,2.87,1.38,NA
NA,1.64,NA,0.45,1.26,NA,NA,NA,NA,2.74
0.96,1.68,2.29,0.51,NA,2.84,3.2,2.82,2.02,2.46
1.25,2.52,NA,0.5,1.46,2.08,NA,NA,1.41,2.32
0.86,NA,NA,NA,NA,NA,NA,NA,1.15,NA
0.61,1.96,NA,NA,NA,1.78,3.2,NA,NA,2.42
NA,NA,NA,NA,NA,NA,NA,2.86,NA,2.8
NA,1.04,2.1,0.58,NA,NA,NA,NA,1.22,2.48
NA,1.44,1.12,0.41,1.2,2.18,NA,2.7,NA,2.94
NA,1.44,0.14,0.42,NA,NA,3.17,2.74,1.15,3.22
NA,NA,0.29,NA,NA,NA,NA,2.74,1.34,NA
0.54,1.44,0.3,NA,1.02,NA,3.17,2.71,1.73,NA
NA,0.96,1.15,NA,1.1,NA,3.18,2.77,NA,2.46
NA,2.84,2.8,0.48,0.56,1.52,NA,NA,1.6,NA
NA,NA,2.24,NA,NA,NA,3.19,NA,NA,NA
NA,1.28,NA,0.59,0.94,1.9,3.18,2.79,1.22,NA
NA,1.2,0.18,NA,NA,NA,3.17,NA,1.63,2.94
NA,NA,NA,NA,1.84,3.16,NA,NA,1.54,NA
0.74,1.28,NA,0.5,NA,NA,3.2,2.78,1.5,2.34
0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.41,NA,2.22,3.19,2.8,NA,NA
1.06,1.12,NA,0.58,NA,2.5,NA,NA,NA,NA
0.96,NA,NA,NA,NA,1.42,3.18,2.94,NA,NA
0.88,NA,NA,0.43,0.74,NA,3.18,3.01,NA,NA
NA,NA,NA,NA,0.4,1.1,3.18,2.78,NA,2.9
NA,1.36,NA,0.5,NA,1.22,3.18,NA,NA,NA
0.7,NA,2.37,NA,NA,NA,NA,NA,NA,2.58
1.38,NA,NA,0.62,NA,NA,NA,NA,NA,NA
NA,NA,0.15,NA,NA,NA,3.17,2.61,NA,NA
NA,1.48,0.19,NA,NA,NA,3.16,NA,NA,NA
0.67,NA,0.61,NA,1.06,NA,3.18,2.82,1.25,2.88
NA,2,0.42,0.56,NA,NA,3.18,2.86,NA,NA
NA,1.64,0.34,NA,NA,2.22,3.18,3.1,NA,2.8
1.7,NA,NA,NA,0.7,NA,NA,NA,NA,NA
0.38,NA,0.77,0.34,NA,1.46,NA,NA,NA,NA
0.9,NA,NA,NA,0.88,1.86,3.18,NA,NA,2.94
NA,2.96,0.26,0.4,0.56,NA,3.18,NA,1.44,NA
NA,NA,NA,NA,NA,2.06,3.19,NA,NA,2.34
NA,1.2,NA,0.38,NA,1.9,3.17,2.93,NA,NA
0.42,NA,NA,0.48,0.96,1.4,NA,2.71,1.76,2.86
NA,1.88,NA,0.47,NA,NA,NA,NA,1.89,NA
1.02,NA,NA,NA,NA,1.82,3.18,NA,1.5,2.56
1.02,1.2,0.37,NA,NA,1.7,3.17,NA,1.66,3.42
0.61,1.68,0.46,0.37,NA,NA,3.17,NA,1.31,3.12
0.8,NA,NA,NA,1.06,2.28,NA,NA,1.44,NA
NA,NA,NA,NA,NA,NA,3.18,2.82,NA,NA
0.64,1.2,NA,NA,1.42,2.83,3.2,2.79,NA,2.38
0.83,NA,NA,NA,1.2,NA,NA,2.81,1.6,NA
1.06,NA,3.11,NA,NA,3.24,3.2,2.62,1.28,2.34
NA,0.96,NA,NA,NA,0.82,NA,NA,1.02,2.78
NA,NA,NA,NA,0.32,NA,NA,NA,NA,2.96
0.51,NA,0.37,0.42,NA,1.36,3.18,NA,1.34,3.04
1.41,1.12,NA,0.37,NA,1.76,3.18,2.9,1.5,NA
1.47,NA,NA,NA,NA,1.9,NA,2.78,NA,2.88
0.99,1.28,NA,0.43,0.16,NA,3.18,2.79,NA,NA
NA,NA,NA,0.5,0.8,1.52,3.18,NA,NA,NA
NA,NA,1.92,NA,1.04,NA,NA,NA,NA,2.88
0.54,NA,0.72,0.48,NA,1.36,NA,NA,1.5,NA
1.6,NA,NA,NA,0.5,1.5,3.18,NA,NA,NA
NA,NA,2.94,0.96,NA,NA,3.2,NA,NA,2.34
NA,2.24,0.14,NA,NA,NA,3.17,NA,1.98,NA
NA,1.08,NA,NA,NA,NA,3.18,2.83,1.41,3.46
NA,1.36,NA,NA,0.78,NA,3.19,2.86,NA,2.42
NA,NA,1.71,0.45,NA,NA,NA,2.69,NA,NA
NA,NA,NA,0.42,NA,NA,NA,2.81,NA,3.36
NA,1.76,2.53,0.65,1.04,2.22,3.19,NA,NA,2.46
NA,NA,0.67,NA,0.54,NA,3.17,2.78,NA,NA
0.7,1.04,NA,NA,0.78,2.42,3.17,NA,NA,2.98
2.08,NA,NA,0.4,NA,NA,NA,NA,1.54,3.42
NA,1.32,0.93,NA,0.66,1.82,NA,2.83,NA,2.54
NA,1.52,0.45,NA,0.32,NA,NA,2.62,2.05,NA
1.25,0.92,0.86,NA,0.66,1.98,3.18,NA,1.12,2.66
NA,0.28,1.12,0.5,NA,1.96,3.18,2.96,1.86,NA
0.74,NA,NA,NA,NA,1.66,3.17,2.87,NA,3.34
NA,NA,NA,1.1,NA,NA,NA,NA,1.41,2.56
0.64,1.08,0.19,NA,NA,0.9,NA,2.79,1.18,NA
0.64,NA,NA,NA,1.02,NA,NA,NA,NA,NA
NA,NA,NA,NA,0.74,NA,NA,2.86,NA,NA
1.38,1.12,NA,NA,0.88,NA,NA,2.81,NA,NA
NA,NA,0.13,NA,NA,NA,3.17,NA,NA,NA
NA,NA,NA,0.54,1.44,NA,3.19,NA,NA,NA
NA,NA,NA,NA,1.42,NA,NA,2.79,NA,2.38
NA,2,NA,0.64,NA,NA,3.19,2.67,NA,NA
NA,NA,NA,0.46,0.56,NA,3.18,2.98,1.22,2.94
NA,1.44,NA,NA,0.94,2.14,NA,2.79,NA,NA
0.9,0.56,NA,NA,0.8,NA,3.18,2.91,1.41,NA
NA,NA,2.67,NA,NA,1.78,NA,NA,NA,2.78
0.67,1.6,0.21,0.47,NA,1.96,3.17,2.86,3.04,3.1
NA,NA,NA,NA,NA,2.1,3.18,NA,NA,2.82
NA,1.12,0.4,NA,0.64,1.12,NA,NA,1.76,NA
NA,NA,1.41,0.65,NA,2.94,NA,2.82,1.41,2.42
0.88,1.2,0.16,NA,NA,1,3.18,NA,1.79,NA
NA,NA,NA,NA,0.32,1.18,NA,NA,1.73,NA
NA,0.88,NA,NA,NA,1.54,3.2,NA,NA,NA
NA,0.56,0.93,0.53,NA,NA,NA,2.94,NA,NA
0.99,NA,0.38,NA,NA,NA,NA,NA,1.15,NA
NA,NA,0.43,NA,1.5,1.62,NA,2.8,NA,NA
0.8,2.16,NA,0.53,NA,NA,3.18,2.83,2.24,NA
0.9,1.8,NA,0.67,0.86,1.86,NA,2.96,NA,2.98
NA,1.08,1.65,NA,NA,NA,NA,2.85,1.15,NA
0.9,NA,0.51,NA,NA,1.78,3.18,NA,1.86,2.54
NA,NA,1.41,NA,1.1,1.5,NA,3.04,NA,NA
0.83,1.04,NA,NA,0.88,NA,3.2,NA,NA,2.34
NA,NA,NA,NA,0.7,NA,NA,3.01,NA,2.34
0.64,NA,1.25,0.51,0.72,NA,NA,2.83,NA,NA
NA,1.32,0.78,0.54,NA,NA,NA,2.78,NA,2.94
0.54,NA,NA,0.45,1.04,1.38,3.18,NA,NA,NA
NA,1.6,1.1,0.43,0.86,1.84,NA,2.7,NA,NA
0.86,NA,1.25,NA,NA,2.9,3.18,NA,1.44,2.5
0.77,1.04,NA,NA,1.42,2,NA,2.82,1.6,2.64
NA,2.68,NA,NA,NA,2.22,3.19,NA,NA,NA
1.98,NA,0.75,0.69,NA,NA,NA,NA,NA,NA
NA,1.52,NA,0.59,NA,NA,NA,NA,NA,2.74
0.64,NA,0.19,0.46,NA,1.58,NA,2.79,NA,2.82
0.51,1.44,0.42,NA,0.74,1.3,3.18,NA,NA,2.98
NA,NA,1.02,NA,NA,2.02,NA,NA,1.41,2.56
NA,1.48,0.99,0.35,NA,NA,NA,NA,NA,3.34
0.54,1.2,NA,0.39,0.88,1.66,3.18,NA,1.57,2.78
NA,0.88,1.52,NA,0.8,NA,NA,2.71,0.99,NA
NA,NA,1.14,0.51,1.66,2.78,3.18,2.85,1.7,NA
0.93,NA,NA,NA,1.46,NA,3.18,2.74,NA,2.94
0.38,1.28,NA,NA,NA,NA,NA,3.02,NA,NA
0.51,NA,NA,NA,NA,1.86,NA,NA,NA,3.34
NA,0.96,NA,NA,1.1,NA,NA,2.99,2.14,2.54
NA,NA,NA,NA,0.78,NA,3.19,NA,NA,NA
0.51,1.16,NA,0.53,NA,NA,NA,2.85,NA,2.88
0.96,NA,0.74,0.37,0.86,1.98,NA,2.8,1.44,NA
NA,1.32,NA,0.39,0.5,NA,NA,NA,NA,3.2
NA,1.28,0.26,NA,1.14,1.96,NA,2.93,1.73,3.34
0.8,1.12,NA,NA,0.82,NA,NA,NA,NA,NA
NA,1.96,0.61,0.42,NA,NA,NA,NA,NA,NA
NA,1.04,NA,0.45,0.22,NA,3.18,NA,NA,NA
0.9,NA,NA,0.59,1.04,NA,3.17,NA,NA,NA
NA,2.96,0.29,NA,NA,NA,NA,NA,NA,3.42
NA,0.6,NA,NA,NA,2.44,3.18,2.74,NA,NA
0.8,NA,1.98,NA,NA,2.42,NA,3.12,NA,2.62
0.86,NA,1.01,0.55,1.26,NA,NA,NA,1.92,2.94
0.77,NA,NA,0.51,NA,NA,3.18,2.8,NA,NA
NA,NA,NA,NA,1.2,2.02,3.18,NA,NA,3.1
NA,1.64,NA,0.55,NA,2,NA,2.74,1.5,2.98
0.64,NA,NA,NA,NA,NA,3.18,2.85,1.44,2.66
NA,1.56,0.22,NA,0.5,2.02,3.18,2.66,1.34,NA
NA,NA,NA,NA,NA,1.94,3.18,NA,NA,2.62
1.02,1.16,NA,0.29,NA,NA,3.18,2.8,2.08,3.42
NA,1.64,0.32,NA,1.34,NA,NA,NA,1.57,NA
NA,1.12,0.7,NA,0.5,1.04,3.17,2.77,1.98,3.44
1.18,2.04,1.89,NA,NA,2.18,3.19,NA,1.41,2.34
1.06,NA,1.02,0.27,0.24,NA,3.18,2.63,1.28,3.36
0.58,1.12,NA,0.45,0.78,1.5,3.18,NA,1.44,2.9
NA,NA,0.51,NA,NA,0.98,NA,NA,2.21,3.36
0.9,1.84,0.51,0.66,NA,1.78,3.18,NA,1.86,2.54
0.7,NA,0.93,0.47,NA,1.58,3.18,NA,NA,NA
0.8,NA,NA,NA,NA,1.5,NA,NA,NA,NA
NA,NA,NA,0.5,0.3,NA,NA,NA,NA,2.74
0.7,0.8,2.56,NA,1.1,NA,3.19,NA,NA,2.38
0.61,1.04,0.83,0.46,0.82,NA,3.18,NA,2.18,2.54
0.67,NA,NA,0.51,0.9,NA,3.2,NA,NA,NA
0.7,1.28,NA,NA,NA,1.46,3.18,NA,1.73,NA
0.93,1.16,0.26,NA,1.42,NA,3.18,2.97,NA,NA
NA,0.4,NA,NA,NA,NA,NA,2.98,NA,2.48
0.74,NA,NA,NA,0.4,0.98,3.18,NA,NA,2.78
NA,NA,0.22,NA,0.74,NA,NA,NA,1.6,NA
0.96,NA,NA,NA,0.72,2.02,NA,NA,NA,3.26
NA,1.88,NA,1.05,NA,NA,NA,2.86,1.15,NA
NA,NA,NA,0.41,1.1,2,3.18,3.01,1.38,3.26
0.99,NA,NA,0.41,NA,NA,3.18,2.97,1.73,NA
0.7,NA,NA,0.47,0.46,2.12,3.18,2.89,NA,2.98
0.77,NA,NA,NA,0.88,NA,NA,NA,1.76,NA
NA,1.44,0.19,0.53,NA,NA,3.18,NA,NA,2.9
NA,1.2,1.25,NA,1.78,NA,3.18,NA,NA,NA
1.28,1.48,NA,NA,NA,NA,3.18,NA,1.6,2.48
1.38,1.12,1.8,NA,0.82,NA,3.18,NA,NA,NA
1.06,NA,NA,0.56,NA,2.8,NA,2.72,2.18,NA
NA,1.2,NA,NA,NA,2.8,NA,NA,1.98,2.64
NA,NA,NA,0.47,NA,NA,3.18,NA,1.44,NA
1.41,NA,NA,NA,NA,1.56,NA,NA,1.41,NA
1.02,NA,1.33,0.61,0.86,2.4,NA,NA,1.63,2.46
0.93,0.6,0.18,NA,0.32,NA,3.17,NA,NA,3.04
NA,1.08,NA,NA,0.66,1.8,3.19,2.58,NA,2.32
NA,NA,1.89,NA,1.28,1.7,NA,2.75,NA,NA
NA,0.64,0.43,0.41,NA,NA,NA,2.85,NA,NA
NA,NA,0.22,0.35,NA,NA,NA,2.74,NA,3.44
0.34,1.16,0.18,NA,NA,NA,NA,NA,NA,NA
0.8,NA,NA,NA,0.94,1.4,NA,NA,NA,2.96
0.7,1.04,1.41,0.31,0.62,NA,NA,2.65,1.31,3.04
1.28,0.68,NA,NA,1.58,NA,NA,NA,1.57,NA
0.64,1.48,NA,NA,0.64,1.3,3.18,3.01,1.57,NA
NA,2.16,0.22,1.79,0.9,1.76,3.18,2.77,1.7,NA
1.06,NA,2.5,0.62,NA,NA,3.19,2.89,NA,2.78
NA,1.56,NA,0.55,0.66,2.1,3.18,NA,1.73,2.96
NA,0.92,2.77,NA,0.98,NA,3.2,NA,1.47,2.34
1.06,1.12,0.22,0.39,NA,1.46,3.18,NA,1.82,NA
NA,NA,0.82,0.42,NA,1.74,NA,NA,1.02,NA
0.99,2.08,0.27,NA,0.14,0.82,NA,2.73,NA,2.78
0.99,NA,0.19,NA,NA,2.22,3.18,2.71,1.73,NA
NA,0.84,0.24,0.5,NA,NA,3.18,2.94,NA,NA
0.77,NA,NA,0.48,NA,1.08,3.18,NA,NA,2.58
1.06,NA,NA,NA,NA,NA,3.17,2.88,1.02,NA
NA,NA,1.31,0.32,1.18,1.48,3.18,NA,1.31,3.3
NA,1.36,1.94,0.34,NA,NA,3.19,NA,NA,2.82
NA,NA,NA,0.51,0.7,NA,NA,NA,1.6,NA
0.51,NA,0.24,NA,NA,NA,3.18,NA,1.34,2.58
0.61,NA,NA,0.37,NA,0.94,3.17,NA,1.22,NA
0.7,NA,1.66,0.49,NA,2.68,3.19,2.77,1.7,2.54
NA,NA,0.18,0.26,0.8,NA,NA,2.77,NA,3.04
0.9,NA,0.5,0.45,0.64,NA,3.18,2.71,NA,NA
NA,NA,1.2,0.47,1.9,2.98,3.18,NA,NA,NA
0.9,NA,2.05,NA,NA,2,NA,2.87,1.38,2.86
0.77,1.08,NA,NA,1.38,2.54,NA,2.87,NA,NA
NA,1.12,1.47,NA,0.26,1.22,3.18,2.73,NA,NA
NA,NA,2.4,NA,NA,1.54,NA,2.8,NA,NA
NA,1.32,0.14,0.47,0.54,NA,NA,NA,1.6,3.04
NA,1.2,2.05,NA,NA,3.06,NA,NA,1.57,2.42
NA,1.96,0.27,NA,1.18,1.46,NA,NA,1.47,3.34
NA,2.24,NA,NA,1.3,NA,NA,NA,1.18,2.46
NA,1.2,NA,0.41,1.26,NA,NA,NA,1.25,NA
0.54,2.96,0.58,0.57,NA,1.7,3.18,2.91,NA,NA
0.61,NA,1.98,0.55,1.34,1.96,3.19,NA,NA,NA
NA,NA,NA,NA,NA,1.42,NA,NA,NA,2.8
0.58,1.44,NA,0.64,1.92,2.18,3.2,NA,1.12,2.42
0.83,NA,NA,NA,0.74,1.16,NA,2.7,1.02,3.02
NA,1.96,0.24,NA,NA,NA,NA,2.7,1.28,2.74
0.61,NA,0.15,0.38,NA,2.12,3.18,2.97,1.34,2.14
NA,NA,0.18,0.4,NA,1.86,3.18,2.82,1.76,2.86
NA,1.08,1.34,NA,NA,NA,3.18,2.81,NA,NA
NA,NA,NA,0.73,NA,NA,3.18,2.99,NA,2.96
0.96,0.88,1.02,NA,1.18,2.24,3.18,NA,NA,NA
2.08,0.48,0.18,NA,0.1,NA,NA,NA,1.15,3.6
NA,NA,2.77,0.54,NA,1.58,3.2,NA,1.47,2.34
1.25,NA,NA,0.54,NA,NA,NA,NA,NA,2.32
0.74,1.6,NA,0.56,0.32,NA,NA,NA,2.69,NA
NA,1.84,NA,0.41,NA,1.14,NA,NA,NA,NA
0.83,1.56,0.22,0.23,0.32,NA,3.17,2.89,2.4,3.02
NA,1.2,0.98,0.42,NA,1.6,3.18,NA,NA,2.88
NA,NA,NA,0.46,0.3,NA,3.18,NA,1.66,NA
NA,1.96,NA,NA,NA,NA,3.2,2.63,NA,NA
NA,0.64,0.67,NA,0.98,NA,3.17,2.94,1.15,3.14
NA,NA,0.18,NA,1.18,1.86,3.18,NA,1.76,NA
0.51,NA,NA,0.56,NA,1.82,NA,NA,1.22,NA
0.67,NA,0.26,0.39,NA,NA,3.18,NA,NA,NA
NA,1.28,2,NA,NA,NA,3.19,NA,NA,2.4
NA,NA,NA,0.71,0.5,2.28,3.19,2.66,NA,NA
0.61,2.4,NA,0.42,0.16,1.62,3.18,2.59,NA,2.78
NA,NA,NA,0.54,NA,1.92,3.17,NA,2.43,NA
0.9,NA,0.29,0.39,0.86,1.54,NA,2.98,1.41,3.36
NA,1.96,NA,NA,1.38,1.98,NA,2.74,1.57,NA
2.22,0.24,NA,0.48,0.24,1.12,NA,NA,NA,2.72
0.61,1.32,NA,NA,1.68,1.78,NA,NA,NA,NA
NA,0.72,NA,NA,0.88,NA,3.19,NA,1.79,2.62
NA,1.44,NA,NA,NA,3.12,3.19,3.1,2.05,2.72
NA,NA,0.29,0.53,NA,NA,3.18,NA,NA,NA
NA,NA,1.74,0.51,1.42,NA,NA,3.13,2.46,NA
1.06,NA,NA,0.41,0.8,NA,3.17,2.94,NA,3.5
1.22,NA,1.33,NA,1.18,2.24,NA,NA,1.66,NA
1.12,NA,2.3,NA,NA,2.36,NA,2.82,1.86,NA
1.09,NA,NA,0.59,0.8,1.94,NA,2.82,NA,2.72
NA,NA,0.22,NA,0.64,1.7,NA,2.64,2.18,NA
NA,NA,1.28,0.48,1.5,2.5,NA,2.86,1.47,NA
NA,NA,NA,0.42,NA,NA,NA,NA,1.25,NA
0.58,NA,NA,0.54,NA,1.46,NA,NA,1.41,NA
0.7,NA,NA,0.64,1.82,NA,3.19,NA,NA,NA
NA,1.6,NA,NA,1.34,2.46,NA,NA,1.34,2.56
NA,NA,1.33,NA,0.74,1.9,3.18,2.78,1.38,NA
0.93,NA,0.22,NA,0.8,NA,NA,NA,NA,NA
NA,NA,NA,NA,0.8,1.86,NA,NA,NA,NA
0.83,1.24,NA,NA,NA,NA,3.18,3.04,2.18,2.82
1.12,1.56,NA,0.48,NA,NA,3.18,2.63,NA,2.78
0.99,0.36,0.22,0.46,NA,NA,3.18,NA,NA,2.66
NA,NA,NA,0.51,NA,NA,3.18,NA,1.06,NA
NA,1.2,NA,NA,NA,NA,NA,NA,1.47,2.82
0.58,1.84,2.18,NA,NA,NA,3.19,NA,NA,NA
0.74,NA,NA,NA,NA,NA,3.18,2.83,NA,NA
NA,NA,0.32,0.59,0.62,NA,NA,NA,NA,2.96
NA,NA,0.26,NA,NA,NA,3.18,NA,1.73,2.88
0.93,NA,0.58,NA,NA,2.44,NA,NA,1.22,2.42
NA,NA,NA,0.61,0.66,NA,3.18,NA,3.14,NA
1.18,NA,0.99,0.46,NA,NA,3.17,NA,0.86,NA
0.96,NA,NA,0.42,NA,NA,NA,NA,1.18,3.3
1.09,1.12,NA,NA,NA,NA,NA,2.87,NA,NA
1.09,NA,0.35,NA,NA,NA,NA,NA,1.41,NA
NA,1.52,NA,NA,NA,1.38,NA,2.89,1.28,2.96
NA,NA,0.8,NA,NA,NA,NA,3.26,NA,NA
NA,NA,0.18,NA,0.54,NA,3.17,2.69,1.63,NA
NA,NA,0.82,1.11,NA,1.4,3.18,NA,NA,NA
NA,1.28,0.26,0.51,1.06,1.6,NA,2.65,1.41,2.8
0.77,NA,NA,0.57,NA,NA,3.18,NA,1.12,2.54
NA,0.88,1.42,NA,0.72,1.78,NA,2.85,NA,2.42
0.8,1.92,NA,0.48,0.74,NA,NA,2.83,NA,2.58
NA,NA,0.22,NA,NA,1.2,NA,NA,1.63,NA
NA,1.16,NA,NA,0.88,1.26,3.19,NA,1.25,2.5
NA,0.96,NA,NA,NA,NA,NA,2.82,1.6,NA
NA,1.4,NA,NA,0.88,1.34,NA,2.86,NA,2.88
NA,NA,NA,0.5,0.64,NA,3.18,2.77,1.86,2.64
NA,1.64,NA,0.56,0.78,NA,3.18,NA,1.41,2.66
NA,NA,NA,NA,NA,2.48,3.18,2.86,1.73,2.94
0.7,NA,NA,0.58,1.82,2.38,3.2,3.02,2.72,NA
NA,0,NA,0.74,NA,NA,3.18,NA,NA,NA
0.51,1.2,2.19,NA,0.88,2.24,3.19,2.58,NA,NA
0.51,1.76,0.22,0.49,0.66,1.46,NA,2.77,NA,NA
0.54,NA,0.24,0.37,0.74,NA,NA,2.89,NA,NA
NA,NA,1.65,NA,1.1,NA,NA,2.83,1.22,2.62
NA,NA,1.19,NA,1.58,2.5,NA,2.85,NA,NA
0.58,1.8,NA,NA,NA,2.22,3.18,NA,NA,2.98
1.09,0.76,0.93,0.47,NA,1.94,NA,2.8,2.02,2.64
NA,1.32,2.05,0.47,1.6,NA,3.19,NA,NA,NA
0.67,NA,0.14,0.43,1.02,1.62,3.17,2.88,1.47,NA
NA,NA,NA,NA,0.4,1.46,NA,2.8,NA,NA
0.93,NA,NA,0.25,NA,NA,NA,2.97,NA,NA
1.02,NA,0.27,NA,0.98,1.82,3.18,NA,1.6,NA
NA,1,0.77,0.43,0.42,NA,3.18,NA,NA,NA
3.22,1.84,0.22,0.53,NA,NA,NA,2.69,1.57,2.72
