"art_gallery_avg_rating","dance_club_avg_rating","juice_bar_avg_rating","restaurant_avg_rating","museum_avg_rating","resort_avg_rating","park_avg_rating","beach_avg_rating","theatre_avg_rating","religious_institution_avg_rating"
0.48,1.16,NA,0.33,NA,NA,3.18,2.98,1.25,NA
NA,1.2,NA,NA,NA,NA,3.18,NA,1.44,2.48
0.96,NA,1.63,0.56,NA,NA,NA,NA,NA,2.48
NA,NA,2.33,0.54,1.26,2.08,NA,NA,NA,2.42
0.86,NA,1.2,0.56,NA,3.24,3.18,NA,1.5,NA
1.41,1.96,NA,0.51,0.42,NA,3.18,2.77,1.18,NA
NA,NA,NA,0.56,1.02,NA,3.19,3.05,1.22,2.56
0.74,1.44,NA,0.34,1.98,NA,3.17,NA,3.17,3.22
NA,1.36,1.9,0.45,1.46,NA,NA,2.69,NA,NA
1.47,NA,NA,NA,0.48,NA,NA,NA,NA,2.88
NA,0.76,0.18,NA,0.96,NA,NA,NA,1.6,2.54
NA,NA,0.16,0.62,NA,NA,NA,2.62,NA,NA
0.74,NA,1.57,0.63,NA,NA,3.18,NA,NA,2.72
0.48,NA,1.82,0.4,1.3,NA,3.18,2.7,1.09,2.8
0.38,1.32,NA,0.5,NA,NA,NA,NA,NA,3.44
NA,NA,0.43,NA,1.72,NA,3.18,NA,1.86,NA
1.57,1.28,0.83,NA,0.48,NA,NA,NA,NA,2.86
NA,NA,1.3,NA,NA,2.88,NA,2.88,NA,NA
0.64,1.52,NA,0.63,1.36,2.26,3.2,2.97,2.62,2.38
NA,1.52,NA,0.35,1.42,1.86,NA,NA,NA,3.12
1.25,NA,2.3,0.49,0.74,2.16,3.2,NA,NA,NA
NA,0.96,NA,0.5,NA,2.12,NA,2.66,0.9,3.06
NA,1.2,NA,0.35,NA,0.98,3.17,NA,NA,3.02
0.93,1.88,0.48,NA,1.26,1.94,NA,2.93,2.4,2.66
0.54,1.32,0.96,0.41,0.8,1.48,NA,2.95,1.86,NA
NA,NA,2.9,NA,1.1,1.94,3.2,2.94,NA,2.32
0.8,1.12,2.3,0.63,1.46,2.74,3.19,2.78,1.22,2.4
1.57,NA,NA,0.39,NA,NA,3.18,NA,NA,2.98
NA,1.12,NA,NA,0.32,NA,3.18,NA,NA,2.78
1.18,NA,1.33,NA,NA,2.88,3.19,2.96,NA,NA
NA,0.88,NA,NA,0.26,1.14,3.18,3.07,NA,3.26
NA,1.48,NA,NA,0.82,NA,3.17,NA,NA,3.36
0.86,NA,0.56,0.81,0.7,NA,NA,NA,NA,NA
NA,1.36,NA,NA,1.12,1.8,3.18,NA,1.57,2.56
NA,1.36,2.02,NA,NA,NA,NA,2.83,NA,3.12
NA,NA,0.37,NA,NA,2.52,3.18,3.25,NA,2.7
1.76,1.2,1.3,NA,NA,NA,NA,2.62,1.15,3.14
0.58,NA,0.19,0.56,0.16,1.26,3.18,2.82,NA,2.7
NA,NA,NA,NA,NA,NA,3.18,NA,NA,NA
0.99,NA,2.13,NA,1.82,NA,3.19,NA,1.5,NA
NA,1.16,0.16,NA,NA,NA,3.17,NA,NA,3.28
0.46,1.96,0.86,0.55,1.44,NA,3.18,3.17,NA,NA
NA,NA,1.62,0.61,0.98,2.02,NA,NA,1.28,2.5
1.31,0.88,0.77,NA,NA,NA,3.18,NA,NA,NA
NA,NA,NA,NA,NA,1.88,3.18,NA,NA,NA
NA,NA,NA,0.45,NA,NA,3.18,NA,NA,2.7
0.58,NA,NA,NA,1.3,2.66,3.18,NA,NA,NA
1.02,NA,NA,NA,0.7,1.58,NA,2.82,NA,NA
0.35,1.36,2.25,0.46,1.1,1.52,3.19,NA,1.89,2.94
1.47,1.04,NA,NA,1.3,2.12,NA,NA,1.5,NA
1.79,NA,NA,0.69,NA,NA,3.19,NA,1.41,2.5
NA,1.24,NA,NA,1.12,NA,3.18,2.94,NA,NA
NA,1.84,NA,NA,0.86,2.36,3.2,NA,NA,NA
NA,0.96,1.94,0.64,1.82,NA,3.19,2.71,NA,2.54
0.7,NA,0.43,0.5,1.12,NA,3.17,NA,NA,3.26
NA,NA,NA,0.54,0.78,1.22,NA,2.94,NA,2.64
0.48,NA,NA,NA,1.3,2.06,NA,2.66,1.92,2.78
0.67,NA,0.51,NA,0.54,NA,3.17,NA,NA,3.2
0.64,1.6,0.3,NA,NA,1.3,3.17,NA,1.76,NA
0.86,1.6,0.19,0.87,1.12,1.66,NA,2.95,NA,2.7
0.83,NA,NA,NA,NA,1.24,3.18,2.87,NA,NA
0.64,1.2,NA,0.22,NA,0.38,NA,2.85,1.15,NA
0.8,1.48,NA,NA,1.38,NA,3.19,NA,NA,2.42
0.8,NA,NA,NA,NA,NA,3.18,NA,NA,2.46
NA,NA,NA,NA,1.04,1.98,3.18,2.78,1.44,2.5
0.8,1.48,NA,NA,0.64,1.76,NA,2.7,1.7,2.98
0.64,NA,0.16,NA,NA,1.48,NA,2.74,NA,2.98
0.8,1.96,1.44,NA,0.82,NA,NA,2.97,NA,NA
0.83,NA,NA,0.29,0.58,NA,NA,2.66,1.5,3.22
NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0.54,1.36,3.18,NA,1.34,NA
NA,0.56,1.33,NA,NA,NA,3.18,NA,NA,3.34
0.74,NA,1.65,NA,1.44,1.86,NA,2.87,1.5,2.46
NA,NA,NA,0.43,0.98,NA,NA,2.66,NA,NA
NA,1.96,NA,NA,NA,1.98,3.18,NA,NA,NA
NA,NA,NA,NA,0.5,1.18,NA,2.89,NA,NA
NA,NA,1.39,0.41,NA,1.98,NA,NA,1.98,2.64
0.9,NA,0.27,0.48,0.9,1.74,3.18,NA,NA,2.86
NA,NA,NA,0.57,NA,NA,3.19,NA,1.44,2.54
NA,NA,0.18,0.78,NA,NA,NA,2.97,1.86,NA
NA,1.52,NA,0.47,0.58,NA,3.17,NA,1.73,3.04
0.96,1.96,NA,0.56,1.34,NA,NA,2.74,NA,2.72
1.06,NA,NA,NA,NA,2.18,NA,2.75,1.54,NA
NA,NA,1.74,NA,0.78,NA,NA,NA,1.41,2.8
NA,NA,2.3,NA,NA,2.74,NA,2.78,NA,2.4
1.18,NA,NA,NA,NA,NA,NA,2.66,2.34,2.48
0.64,1.72,2.4,0.61,NA,2.46,3.2,NA,2.53,2.34
NA,NA,NA,NA,NA,1.74,3.18,2.74,1.57,2.88
0.96,NA,0.22,0.56,1.34,NA,3.18,NA,1.44,NA
NA,NA,1.76,0.54,0.98,NA,3.19,NA,NA,NA
1.44,NA,NA,NA,0.3,NA,NA,2.7,NA,NA
0.9,1.24,NA,0.53,0.74,NA,NA,2.87,NA,NA
NA,NA,2.77,0.63,0.86,NA,NA,NA,1.47,NA
0.77,1.8,NA,0.31,NA,1.7,NA,NA,1.57,NA
NA,NA,0.14,0.29,NA,NA,NA,NA,1.06,NA
0.64,1.24,0.26,NA,0.9,1.54,3.17,2.89,1.25,NA
1.39,1.52,NA,0.66,1.76,3.24,NA,2.87,1.73,2.42
NA,1.56,3.03,0.43,NA,NA,3.2,NA,NA,2.4
1.12,1,NA,NA,NA,NA,3.18,NA,NA,NA
NA,NA,NA,NA,1.54,NA,3.18,2.74,NA,2.46
NA,NA,NA,NA,0.94,NA,3.18,3.07,1.6,NA
NA,NA,1.23,NA,NA,NA,NA,2.86,0.86,NA
1.97,NA,NA,NA,0.66,2.06,NA,2.85,NA,NA
1.02,2.48,NA,0.41,1.5,NA,3.19,2.78,1.41,2.38
0.7,1.28,0.35,NA,0.96,NA,3.17,2.9,NA,NA
NA,NA,NA,0.45,0.42,1.3,NA,2.73,1.25,3.12
NA,1.2,0.3,0.38,NA,1.9,3.17,NA,NA,NA
0.42,0.88,NA,0.66,NA,2.44,3.18,NA,1.34,NA
NA,NA,1.09,0.67,NA,NA,NA,2.96,1.79,NA
NA,NA,NA,0.49,1.62,1.76,3.18,2.54,1.47,2.42
1.31,2.64,1.73,NA,NA,2.58,3.19,NA,NA,NA
NA,NA,1.26,NA,NA,2.4,3.19,2.73,NA,2.4
1.12,1.44,0.26,NA,0.3,NA,NA,NA,NA,NA
0.54,1.36,NA,0.46,NA,NA,3.17,NA,1.44,NA
NA,NA,NA,2.11,0.32,NA,3.18,NA,1.98,2.5
0.48,1.56,NA,0.49,0.56,2.12,3.18,3.13,NA,2.66
0.8,NA,0.22,0.64,NA,1.82,NA,2.77,1.34,2.54
NA,1.28,0.93,NA,0.42,NA,NA,NA,NA,NA
0.77,NA,NA,NA,0.3,1.26,NA,2.63,1.15,3.34
0.77,1.4,NA,NA,0.58,NA,3.17,2.75,1.54,2.82
NA,NA,0.32,NA,NA,2.28,3.17,2.89,1.7,NA
0.72,NA,1.57,0.62,1.58,1.86,3.18,NA,1.25,2.72
1.25,0.96,NA,NA,0.58,1.06,NA,NA,NA,NA
NA,2.88,1.09,0.48,0.88,2.24,NA,2.78,NA,NA
NA,NA,1.54,NA,NA,1.62,3.18,2.91,1.22,NA
NA,1.04,NA,0.45,1.12,NA,NA,2.82,NA,2.64
0.86,NA,NA,NA,1.38,2.06,NA,2.91,1.22,2.5
NA,NA,0.42,0.4,NA,NA,NA,2.86,NA,NA
NA,NA,NA,0.57,0.62,1.3,3.18,NA,NA,2.54
1.09,0.92,1.01,NA,0.98,NA,3.18,2.83,2.08,2.66
0.67,1.36,NA,0.49,NA,NA,NA,2.74,1.6,NA
1.22,0.92,1.04,NA,0.48,1.36,NA,NA,NA,2.98
0.96,1.68,NA,0.29,NA,2.34,NA,NA,1.02,NA
NA,0.68,0.45,NA,0.64,1.66,3.18,2.67,1.47,2.4
0.9,1.04,0.3,NA,NA,1.14,3.18,2.8,NA,2.5
0.9,NA,NA,NA,NA,2.38,NA,NA,1.66,NA
NA,NA,0.61,0.48,NA,NA,3.18,2.75,1.25,NA
0.67,1.2,0.9,NA,NA,2.14,NA,NA,NA,2.82
0.99,1.24,0.15,NA,NA,NA,NA,NA,1.02,NA
NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA
NA,NA,NA,NA,NA,2.34,3.18,NA,NA,NA
1.78,1.04,NA,NA,0.46,NA,NA,NA,NA,2.42
NA,NA,NA,NA,NA,2.26,NA,NA,NA,2.62
1.55,1.16,0.66,0.3,NA,NA,NA,NA,1.22,NA
0.7,NA,0.29,0.65,0.78,1.38,3.18,NA,NA,2.74
1.31,0.96,0.86,0.4,NA,1.54,NA,NA,1.41,NA
NA,1.4,NA,NA,0.22,2.22,3.17,NA,NA,3.22
0.74,NA,NA,0.38,1.2,2.22,NA,2.42,NA,2.58
NA,NA,0.3,NA,1.06,1.58,NA,NA,NA,3.14
0.58,NA,NA,NA,NA,1.28,3.17,2.72,1.95,NA
0.72,NA,NA,0.85,NA,NA,3.18,NA,1.28,NA
NA,NA,NA,NA,0.58,NA,3.18,2.63,NA,NA
1.38,NA,1.92,0.64,NA,2.32,3.19,NA,NA,NA
0.64,NA,NA,0.4,0.56,NA,NA,2.82,NA,NA
NA,1.12,1.16,NA,NA,NA,3.18,NA,1.18,NA
NA,NA,2.59,NA,1.1,NA,NA,2.69,1.6,2.62
0.77,NA,NA,NA,NA,2.78,NA,NA,1.22,2.94
0.64,NA,NA,0.53,NA,NA,NA,2.66,NA,2.64
0.42,NA,1.49,0.71,1.06,NA,NA,NA,NA,NA
1.38,NA,NA,0.55,NA,0.9,NA,NA,1.31,3.04
NA,NA,1.9,0.53,1.44,NA,NA,3.18,2.18,NA
0.83,NA,NA,0.51,1.42,NA,NA,NA,1.76,NA
NA,NA,1.42,NA,0.46,NA,NA,2.66,NA,2.8
NA,NA,NA,0.62,0.72,2.44,NA,NA,1.38,NA
0.7,NA,NA,NA,2.58,2.34,3.17,3.06,NA,NA
NA,NA,0.62,0.31,1.06,NA,NA,NA,1.25,NA
NA,0.92,NA,NA,0.78,1.78,3.18,2.77,1.98,2.62
1.38,NA,NA,NA,NA,1.16,NA,2.69,1.22,3.3
NA,NA,NA,0.33,NA,NA,3.17,3.03,NA,3.38
NA,NA,0.14,0.39,0.9,NA,NA,NA,NA,2.96
NA,NA,NA,0.53,NA,2.18,3.19,NA,NA,NA
0.93,NA,0.35,NA,NA,NA,NA,2.78,2.21,2.74
0.77,1.36,0.18,NA,1.3,2.1,NA,NA,NA,3.5
NA,0.88,0.26,0.48,NA,NA,3.17,NA,NA,3.04
0.61,1.24,2.32,NA,NA,NA,NA,2.75,NA,NA
0.77,1.16,NA,NA,1.3,1.74,3.18,2.96,1.47,NA
NA,1.12,0.67,0.5,1.38,2.1,NA,2.98,1.41,2.86
NA,NA,1.94,0.51,NA,1.7,NA,2.7,1.7,2.38
NA,NA,1.39,NA,1.06,NA,3.18,2.86,NA,NA
NA,1.08,2.48,NA,0.82,1.78,NA,2.83,1.41,NA
NA,1.28,0.48,0.35,0.7,NA,3.18,3.01,2.18,NA
NA,1.04,0.35,0.58,0.74,2.22,3.18,NA,NA,NA
2.5,2,NA,0.51,0.8,1.78,NA,2.89,NA,3.12
0.86,NA,NA,0.48,0.56,1.78,NA,NA,2.05,2.62
0.7,NA,1.78,0.64,NA,NA,NA,NA,NA,NA
0.86,0.76,NA,NA,2.62,2.34,NA,NA,1.09,2.7
1.12,NA,0.19,0.33,0.26,NA,NA,NA,NA,NA
1.22,NA,2.18,NA,1.38,NA,3.19,NA,1.92,2.54
0.96,1.2,0.19,NA,0.66,1.24,3.16,2.94,NA,NA
NA,1.24,NA,0.53,NA,1.44,NA,2.9,1.6,NA
NA,NA,2.43,NA,NA,3.12,3.2,NA,2.11,2.4
NA,NA,0.35,NA,NA,1.72,NA,2.57,NA,3.06
NA,NA,2.84,0.5,NA,2.14,3.2,2.97,1.54,NA
1.31,NA,0.26,NA,0.96,1.16,NA,NA,NA,2.88
NA,1.04,NA,0.53,1.6,1.9,3.18,2.9,1.12,2.88
0.96,1.28,NA,0.37,NA,2.14,NA,NA,1.34,2.8
0.77,NA,NA,NA,1.06,NA,NA,3.23,NA,NA
NA,1.36,0.13,NA,0.7,1.02,3.18,2.89,1.63,NA
NA,1.04,1.89,NA,NA,NA,NA,NA,NA,2.62
0.51,NA,NA,NA,0.66,NA,NA,NA,1.38,2.32
NA,NA,0.26,0.42,0.86,NA,3.17,NA,1.63,NA
0.7,NA,2.46,0.57,NA,NA,NA,2.95,NA,NA
0.86,NA,1.68,NA,1.3,3.04,NA,NA,1.31,NA
NA,1.12,NA,NA,NA,2.34,NA,NA,NA,2.66
NA,1.4,NA,0.59,NA,1.94,3.18,NA,1.41,2.66
NA,NA,0.37,NA,NA,1.94,NA,2.72,NA,NA
NA,0.96,0.18,0.58,NA,NA,3.18,2.95,1.5,NA
0.86,0.6,NA,NA,NA,NA,3.18,2.78,1.44,2.34
1.12,0.16,0.19,NA,NA,NA,NA,2.9,1.73,NA
0.83,NA,NA,0.56,NA,2.02,NA,NA,NA,NA
NA,1.08,1.45,NA,NA,NA,NA,2.9,NA,3.02
NA,0.88,NA,0.41,NA,2,3.18,NA,1.06,NA
NA,NA,NA,NA,NA,NA,3.18,2.77,1.44,2.9
NA,2.24,2.63,NA,NA,NA,3.2,2.75,NA,2.48
NA,NA,2.35,NA,NA,NA,NA,NA,2.21,2.5
0.61,1.84,NA,NA,NA,NA,3.18,NA,NA,2.98
0.96,NA,NA,0.42,NA,NA,NA,2.83,1.98,NA
0.8,NA,0.75,0.35,NA,1.78,3.18,2.86,NA,2.82
1.44,NA,0.18,0.34,NA,NA,NA,NA,0.9,2.88
NA,NA,NA,0.46,0.5,1.52,3.18,NA,1.98,NA
NA,1.56,0.96,NA,NA,NA,3.17,2.77,NA,NA
NA,1.04,1.17,NA,0.98,2.1,3.19,NA,1.38,NA
NA,NA,0.24,NA,0.72,NA,NA,NA,NA,2.98
0.61,NA,0.18,NA,1.02,NA,NA,NA,1.34,3.04
NA,NA,0.21,0.58,0.42,1.28,3.18,NA,1.98,2.66
0.96,1.92,1.18,NA,NA,NA,3.18,NA,1.7,2.62
NA,NA,0.34,NA,0.82,NA,NA,2.95,1.34,3.34
NA,NA,0.59,0.35,1.02,NA,3.18,2.85,NA,2.98
NA,NA,2.5,0.56,NA,NA,NA,2.72,2.18,NA
0.9,0.88,1.17,NA,0.7,2.1,NA,3.06,NA,2.62
NA,NA,NA,0.75,1.02,2.2,NA,NA,1.34,2.42
NA,NA,0.34,0.53,1.26,2.2,NA,NA,NA,2.7
0.7,0.88,NA,0.5,1.04,1.46,3.19,2.88,1.54,2.4
0.58,NA,NA,0.49,NA,NA,NA,2.82,1.6,NA
0.96,0.88,NA,NA,0.42,1.8,NA,NA,NA,2.78
NA,NA,NA,NA,0.88,NA,NA,NA,2.11,3.34
1.06,0.8,NA,0.35,1.3,2.12,3.18,3.03,1.7,2.94
NA,NA,NA,0.5,1.2,1.74,3.18,NA,NA,2.58
0.93,1.6,3.11,0.49,0.96,NA,3.2,2.61,1.5,2.38
0.9,NA,NA,NA,NA,NA,3.18,2.85,1.47,2.7
0.7,NA,1.46,0.5,0.94,NA,NA,2.64,0.96,NA
NA,1.56,NA,NA,NA,2.1,3.18,2.86,1.66,2.48
NA,NA,1.41,NA,1.52,NA,NA,NA,1.22,2.94
0.74,NA,NA,NA,0.94,NA,NA,NA,1.34,2.34
NA,NA,2.36,NA,1.18,NA,NA,2.98,NA,2.42
1.15,NA,2.06,0.56,1.68,NA,3.19,2.62,1.44,NA
NA,1.2,NA,NA,NA,NA,NA,2.95,NA,NA
0.9,2.16,NA,0.56,NA,2.17,3.19,2.72,1.44,2.42
NA,NA,0.21,0.29,NA,1.48,NA,NA,1.18,3.38
0.77,NA,1.82,0.39,1.06,NA,NA,NA,1.41,NA
NA,NA,0.3,NA,NA,1.58,3.18,NA,2.24,NA
0.96,1.44,0.72,0.62,NA,NA,3.18,3.02,1.82,NA
0.74,NA,NA,NA,NA,NA,3.18,NA,NA,NA
0.77,0.88,0.24,NA,1.02,2.1,NA,3.03,NA,2.64
0.64,NA,NA,0.56,0.74,1.72,3.18,2.8,1.66,2.88
0.67,NA,NA,0.56,0.62,NA,NA,NA,1.54,2.9
NA,0.96,0.74,1.12,NA,1.7,NA,NA,1.57,2.56
0.83,NA,NA,0.33,0.56,2.16,3.18,2.74,1.6,2.82
0.64,1.36,1.52,NA,1.02,NA,3.18,NA,NA,NA
NA,1.2,0.85,NA,NA,NA,3.18,NA,NA,2.74
NA,1.6,0.19,0.45,1.02,1.42,NA,NA,NA,2.88
NA,1.28,0.16,0.47,1.04,1.6,NA,NA,NA,3.26
1.47,1.04,0.43,NA,0.74,NA,NA,3.01,1.63,NA
0.48,1.12,0.7,0.33,NA,1.42,3.18,NA,1.47,2.78
0.96,NA,0.29,0.32,NA,NA,NA,2.79,1.25,NA
NA,1.04,2.77,NA,0.46,NA,NA,2.66,1.38,NA
0.93,2.08,NA,NA,1.1,2.58,NA,2.89,NA,NA
0.96,NA,NA,NA,0.82,1.66,3.18,NA,NA,2.72
0.83,1.32,NA,0.31,NA,1.5,3.17,2.98,1.38,3.04
NA,2.28,0.22,2.38,0.38,NA,3.18,NA,1.38,2.66
0.83,1.96,1.33,NA,NA,NA,3.18,2.87,NA,NA
NA,0.8,NA,NA,NA,1.56,NA,NA,NA,2.7
1.76,0.6,1.57,NA,NA,1.66,NA,2.98,1.5,2.72
0.96,NA,NA,NA,0.74,1.66,3.17,2.97,1.41,3.36
NA,1.08,NA,0.65,0.88,2.02,NA,2.86,NA,NA
0.86,NA,NA,NA,1.28,NA,3.19,NA,NA,2.66
1.12,NA,0.16,0.5,NA,NA,NA,NA,NA,NA
0.64,NA,NA,NA,NA,1.1,3.18,NA,1.47,NA
1.15,NA,NA,3.1,0.64,1.86,3.18,NA,NA,NA
0.67,2.2,NA,0.61,0.9,NA,3.19,NA,NA,2.46
NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26
NA,0.68,1.41,NA,NA,NA,NA,NA,NA,NA
0.64,1.2,NA,NA,NA,NA,3.19,NA,1.28,2.26
NA,NA,NA,NA,1.02,NA,3.18,NA,NA,3.26
NA,1.36,NA,0.48,NA,NA,3.18,2.89,1.34,NA
NA,3.12,1.58,0.48,NA,NA,NA,2.67,NA,NA
NA,1.32,0.34,NA,0.4,1.02,3.18,2.85,NA,2.82
0.66,NA,NA,NA,NA,NA,3.18,3.02,NA,2.88
0.74,NA,1.3,NA,1.26,2.42,NA,2.78,1.57,2.5
0.83,0.92,0.82,NA,NA,2.14,3.18,3.39,NA,NA
NA,1.28,NA,NA,1.02,1.26,NA,2.87,3.01,3.3
NA,NA,1.14,0.5,NA,1.94,3.18,2.97,NA,NA
NA,NA,NA,0.33,1.38,1.58,NA,2.7,1.06,NA
NA,NA,0.22,0.64,NA,NA,3.18,NA,1.7,NA
1.82,1.56,0.62,0.39,NA,1.62,3.18,NA,NA,3.42
1.25,NA,NA,NA,NA,2.5,3.18,NA,1.6,NA
NA,NA,NA,NA,NA,NA,3.17,NA,1.41,3.12
0.74,NA,NA,0.49,NA,NA,3.17,NA,NA,2.88
0.8,NA,NA,0.55,NA,NA,3.18,2.85,1.7,2.42
0.99,1.32,2.03,NA,NA,1.54,NA,NA,2.08,NA
NA,NA,0.62,0.51,NA,1.84,NA,2.8,2.05,3.02
NA,NA,NA,0.42,0.42,NA,NA,2.71,1.73,2.96
1.66,NA,0.43,0.59,NA,1.06,3.18,2.95,NA,NA
NA,1.92,NA,0.5,NA,NA,3.19,2.89,1.5,NA
NA,1.08,NA,NA,0.9,NA,3.18,2.73,NA,NA
NA,NA,0.19,NA,NA,NA,3.17,NA,NA,2.98
NA,NA,NA,NA,1.06,1.56,3.18,NA,NA,2.54
0.7,1.36,0.19,0.41,0.86,NA,3.17,NA,NA,3.1
NA,1.2,NA,0.34,0.48,NA,NA,2.81,NA,3.44
NA,1.2,NA,NA,NA,NA,3.17,NA,NA,2.98
NA,1.2,2.05,NA,NA,3.06,NA,NA,NA,NA
0.83,NA,NA,NA,NA,1.34,NA,2.78,NA,NA
0.8,NA,NA,0.63,NA,NA,NA,NA,1.12,NA
NA,NA,1.25,NA,2.02,2.62,NA,NA,1.38,2.54
1.38,0.96,1.07,0.66,1.06,NA,NA,2.85,NA,NA
NA,1.44,0.42,NA,NA,1.68,3.17,NA,1.7,3.38
NA,1.96,0.21,0.42,NA,NA,3.18,2.87,NA,NA
1.73,0.84,2.61,NA,NA,2.42,3.19,NA,1.73,2.78
0.54,NA,NA,NA,1.62,2.42,3.18,NA,2.43,NA
1.09,2.76,0.21,0.66,0.32,2.28,NA,NA,1.5,NA
NA,NA,0.24,0.61,0.7,NA,3.18,NA,NA,2.96
0.93,NA,NA,0.49,NA,3.06,NA,NA,NA,2.48
NA,NA,NA,0.41,NA,1.14,NA,2.81,NA,2.8
NA,0.8,NA,NA,NA,1.78,NA,2.86,2.18,2.66
NA,NA,0.21,NA,NA,NA,3.16,NA,NA,3.38
0.38,NA,0.34,0.5,NA,1.94,NA,2.9,2.37,3.04
1.09,NA,NA,0.51,NA,2.74,NA,2.74,1.28,NA
